Candidato;Partido;Coligação;Situação;Votação;Receita_total
THIAGO TRINDADE DE AGUIAR;PSOL;PSOL / PSTU;Suplente;7841;85013,059999999
THOMAZ DE OLIVEIRA CAVEANHA;PTB;PTB;Suplente;13184;131008,51
VALCIR DA SILVA DOS SANTOS;PDT;PDT;Suplente;2868;0
VALDECI PACHECO DA SILVA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;551;1177,3999999999
VALDELICIO AZEVEDO DE ANDRADE;PV;PV;Suplente;135;0
VALDENEIDE LUCENA DA SILVA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;158;707,5
VALDIR APARECIDO FUMIS;PSOL;PSOL / PSTU;Não eleito;0;1050
VALDIR ELIAS MARCELINO;PEN;PEN;Não eleito;1134;11810,95
VALDIR POLLETINI;PSB;PSB;Suplente;562;7246,09
VALDIR TIMOTEO LEITE;PRP;PHS / PRP;Não eleito;1044;38
VALMIR GOMES DE MELO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;2100;0
VALMIR PRASCIDELLI;PT;PT / PC do B;Eleito por QP;84419;1523176,5999999
VALQUÍRIA DI TATA CAMPOS OLIVEIRA;PTB;PTB;Suplente;2062;5421,1499999999
VANDERLEI MACRIS;PSDB;PSDB / DEM / PPS;Eleito por QP;148449;2357202
VANDERLEI SIRAQUE;PT;PT / PC do B;Suplente;53285;1594943,4699999
VANDERLI FERREIRA DOURADO;PT;PT / PC do B;Suplente;5219;171096,48
VANESSA  COROQUER ZACARIAS;PSDB;PSDB / DEM / PPS;Suplente;3374;200
VANESSA FEDORYSZYN;PR;PR;Suplente;30;0
VANESSA RAMOS CABRAL;PSB;PSB;Suplente;197;786,63
VANIA MARQUESINI;PV;PV;Suplente;790;3464,5
VERA LUCIA DONDA SIMPLICIO BENTO;SD;SD;Suplente;54;2842,65
VERA LUCIA SANTOS DE FRANÇA;PR;PR;Suplente;414;5598
VERA REGINA HENNE GIL;PTB;PTB;Suplente;578;7339,2
VICENTE CANDIDO DA SILVA;PT;PT / PC do B;Eleito por QP;117652;4058648,5399999
VICENTE LEITE DE SOUZA;PSOL;PSOL / PSTU;Não eleito;0;0
VICENTE PAULO DA SILVA;PT;PT / PC do B;Eleito por QP;89001;1440155,23
VICTOR ALEXANDRE PERINA;PHS;PHS / PRP;Não eleito;32622;159480,95
VILMA APARECIDA DE ALMEIDA;PRB;PRB;Suplente;511;2816
VINÍCIUS COSTA SOUZA;PCO;PCO;Não eleito;568;967,41999999999
VINICIUS PETRONIO FERRAZ VIEIRA;PR;PR;Não eleito;0;4028
VINICIUS RAPOZO DE CARVALHO;PRB;PRB;Eleito por QP;80643;130297,58999999
VITOR JOSE SANTOS DE OLIVEIRA;PSOL;PSOL / PSTU;Suplente;5682;12437,799999999
VITOR LIPPI;PSDB;PSDB / DEM / PPS;Eleito por QP;176153;810435,95999999
VITÓRIO DA SILVA QUEIROZ;PRB;PRB;Suplente;257;6288,3199999999
