"NUMERO_CANDIDATO","QTDE_VOTOS"
"1503","38339"
"1504","443"
"1505","89553"
"1506","2077"
"1507","11976"
"1508","36928"
"1509","106786"
"1510","913647"
"1511","763509"
"1512","150021"
"1513","362284"
"1514","27281"
"1515","2268048"
"1516","230786"
"1517","2719"
"1518","222355"
"1519","5616"
"1520","176845"
"1521","24622"
"1522","400284"
"1523","195072"
"1524","1812"
"1525","44610"
"1526","1071"
"1527","1241"
"1528","453"
"1529","12658"
"1530","311466"
"1531","588"
"1532","6239"
"1533","188998"
"1534","443"
"1535","211"
"1536","9436"
"1537","98"
"1539","325"
"1540","219910"
"1541","1213"
"1543","905"
"1544","46546"
"1545","49040"
"1546","12003"
"1547","253"
"1548","93"
"1550","119367"
"1551","3341"
"1552","3894"
"1553","329"
"1554","1045"
"1555","522593"
"1556","5467"
"1557","1022"
"1558","1223"
"1559","2550"
"1560","119218"
"1561","1874"
"1562","30169"
"1563","35813"
"1564","257"
"1565","1115"
"1566","72025"
"1567","54237"
"1568","7551"
"1569","2039"
"1570","322739"
"1571","199"
"1573","6398"
"1575","2193"
"1577","253274"
"1578","10922"
"1579","1033"
"1580","435154"
"1581","232"
"1583","2222"
"1584","50"
"1585","807"
"1588","78426"
"1589","424"
"1590","224399"
"1591","5162"
"1593","2293"
"1594","1145"
"1595","797"
"1596","22536"
"1597","360"
"1598","117"
"1599","26628"
"16","37120"
"1600","10350"
"1601","1288"
"1602","991"
"1603","26"
"1605","54"
"1606","3429"
"1609","67"
"1610","1593"
"1611","1575"
"1615","75"
"1616","106761"
"1617","2546"
"1618","161"
"1620","7607"
"1622","1640"
"1623","671"
"1630","579"
"1631","482"
"1633","5161"
"1640","913"
"1644","172"
"1651","160"
"1654","1217"
"1655","201"
"1657","48"
"1661","1420"
"1666","1625"
"1669","79"
"1671","29"
"1675","24"
"1677","40"
"1680","290"
"1688","168"
"1699","823"
"17","36082"
"1700","102814"
"1701","1874"
"1702","844"
"1703","306"
"1705","392"
"1707","971"
"1709","878"
"1710","46817"
"1711","2703"
"1712","2829"
"1713","5499"
"1714","5300"
"1715","1934"
"1717","151050"
"1718","7035"
"1719","1138"
"1720","25501"
"1721","109"
"1722","2371"
"1723","8359"
"1724","10512"
"1727","2889"
"1729","185"
"1730","685"
"1731","938"
"1733","39567"
"1735","2100"
"1737","7023"
"1738","221"
"1740","1476"
"1741","723"
"1744","24172"
"1745","1613"
"1746","23412"
"1747","902"
"1748","7069"
"1750","985"
"1753","39"
"1755","3850"
"1757","833"
"1761","323"
"1763","495"
"1765","716"
"1766","1948"
"1767","417"
"1770","5380"
"1771","2527"
"1773","432"
"1777","155860"
"1778","300"
"1779","485"
"1780","286"
"1781","143"
"1784","350"
"1785","30"
"1786","630"
"1787","12487"
"1788","5910"
"1789","97452"
"1790","1331"
"1791","11"
"1797","207"
"19","40328"
"1900","237403"
"1901","638"
"1902","371"
"1907","49997"
"1909","739"
"1910","2115"
"1911","3291"
"1912","5015"
"1913","1023"
"1914","3744"
"1915","41"
"1916","96"
"1917","176"
"1919","227025"
"1920","53475"
"1921","1057"
"1922","1604"
"1923","210"
"1924","250"
"1925","38"
"1927","216"
"1928","14"
"1932","571"
"1933","1568"
"1934","103"
"1936","850"
"1940","544"
"1944","15"
"1945","38027"
"1950","1249"
"1951","27"
"1953","160"
"1954","1641"
"1955","2256"
"1960","1514"
"1961","739"
"1963","5410"
"1965","653"
"1969","382"
"1971","411"
"1972","247"
"1975","920"
"1977","2808"
"1978","11610"
"1980","6631"
"1987","2818"
"1989","6327"
"1990","712"
"1991","111"
"1993","2832"
"1998","391"
"1999","8001"
"20","99840"
"2000","93397"
"2001","12965"
"2002","4029"
"2007","1172"
"2008","2415"
"2009","1829"
"2010","517869"
"2011","23418"
"2012","147240"
"2013","11612"
"2014","345312"
"2015","9811"
"2016","1676"
"2017","549"
"2019","1017"
"2020","817979"
"2021","7118"
"2022","14367"
"2023","85421"
"2024","5691"
"2025","2766"
"2027","420"
"2030","78527"
"2032","63"
"2033","1219"
"2034","356"
"2035","293"
"2039","47"
"2040","21514"
"2041","615"
"2042","1356"
"2044","1723"
"2045","15951"
"2050","2105"
"2052","4225"
"2055","289"
"2056","275"
"2057","595"
"2060","747"
"2063","38163"
"2066","6953"
"2067","385"
"2068","1223"
"2069","770"
"2070","82668"
"2071","448"
"2072","459"
"2073","30"
"2077","3540"
"2079","10179"
"2080","1320"
"2084","2104"
"2088","1323"
"2090","31720"
"2091","19912"
"2099","740"
"21","29726"
"2100","7107"
"2110","910"
"2111","3593"
"2112","2093"
"2114","314"
"2120","134"
"2121","10079"
"2122","6091"
"2123","4987"
"2125","159"
"2132","388"
"2133","224"
"2147","346"
"2151","601"
"2166","181"
"2170","657"
"2177","397"
"2190","107"
"2199","1319"
"22","186798"
"2200","258722"
"2201","1940"
"2202","25838"
"2204","2310"
"2206","318"
"2207","2622"
